CBO Ocupação 2002;titulo;POTECoriginal;potec;Potec Grupo
122305;Diretor de operações de obras pública e civil;Demais Ocupações;Demais Ocupações;Demais Ocupações
122405;Diretor de operações comerciais (comércio atacadista e varejista);Demais Ocupações;Demais Ocupações;Demais Ocupações
122515;Diretor de  produção e operações de turismo;Demais Ocupações;Demais Ocupações;Demais Ocupações
122520;Turismólogo;Demais Ocupações;Demais Ocupações;Demais Ocupações
122510;Diretor de  produção e operações de hotel;Demais Ocupações;Demais Ocupações;Demais Ocupações
122505;Diretor de  produção e operações de alimentação;Demais Ocupações;Demais Ocupações;Demais Ocupações
122620;Diretor de operações de serviços de transporte;Demais Ocupações;Demais Ocupações;Demais Ocupações
122605;Diretor de operações de correios;Demais Ocupações;Demais Ocupações;Demais Ocupações
122610;Diretor de operações de serviços de armazenamento;Demais Ocupações;Demais Ocupações;Demais Ocupações
122615;Diretor de operações de serviços de telecomunicações;Demais Ocupações;Demais Ocupações;Demais Ocupações
122710;Diretor de produtos bancários;Demais Ocupações;Demais Ocupações;Demais Ocupações
122755;Diretor de riscos de mercado;Demais Ocupações;Demais Ocupações;Demais Ocupações
122750;Diretor de recuperação de créditos em operações de intermediação financeira;Demais Ocupações;Demais Ocupações;Demais Ocupações
122745;Diretor de mercado de capitais;Demais Ocupações;Demais Ocupações;Demais Ocupações
122740;Diretor de leasing;Demais Ocupações;Demais Ocupações;Demais Ocupações
122735;Diretor de crédito imobiliário;Demais Ocupações;Demais Ocupações;Demais Ocupações
122730;Diretor de crédito (exceto crédito imobiliário);Demais Ocupações;Demais Ocupações;Demais Ocupações
122725;Diretor de compliance;Demais Ocupações;Demais Ocupações;Demais Ocupações
122720;Diretor de câmbio e comércio exterior;Demais Ocupações;Demais Ocupações;Demais Ocupações
122715;Diretor de crédito rural;Demais Ocupações;Demais Ocupações;Demais Ocupações
122705;Diretor comercial em operações de intermediação financeira;Demais Ocupações;Demais Ocupações;Demais Ocupações
123105;Diretor administrativo;Demais Ocupações;Demais Ocupações;Demais Ocupações
123110;Diretor administrativo e financeiro;Demais Ocupações;Demais Ocupações;Demais Ocupações
123115;Diretor financeiro;Demais Ocupações;Demais Ocupações;Demais Ocupações
123205;Diretor de recursos humanos;Demais Ocupações;Demais Ocupações;Demais Ocupações
123210;Diretor de relações de trabalho;Demais Ocupações;Demais Ocupações;Demais Ocupações
123310;Diretor de marketing;Demais Ocupações;Demais Ocupações;Demais Ocupações
123305;Diretor comercial;Demais Ocupações;Demais Ocupações;Demais Ocupações
123405;Diretor de suprimentos;Demais Ocupações;Demais Ocupações;Demais Ocupações
123410;Diretor de suprimentos no serviço público;Demais Ocupações;Demais Ocupações;Demais Ocupações
123605;Diretor de serviços de informática;Demais Ocupações;Demais Ocupações;Demais Ocupações
123705;Diretor de pesquisa e desenvolvimento (p&d);Diretores e Gerentes de P&D;Diretores e Gerentes de P&D;Diretores e Gerentes de P&D
123805;Diretor de manutenção;Demais Ocupações;Demais Ocupações;Demais Ocupações
131110;Diretor de serviços sociais;Demais Ocupações;Demais Ocupações;Demais Ocupações
131120;Gerente de serviços sociais;Demais Ocupações;Demais Ocupações;Demais Ocupações
131115;Gerente de serviços culturais;Demais Ocupações;Demais Ocupações;Demais Ocupações
