CBO Ocupação 2002;titulo;POTECoriginal;potec;Potec Grupo
252515;Analista de cobrança (instituições financeiras);Demais Ocupações;Demais Ocupações;Demais Ocupações
252510;Analista de câmbio;Demais Ocupações;Demais Ocupações;Demais Ocupações
252605;Gestor em segurança;Demais Ocupações;Demais Ocupações;Demais Ocupações
252725;Analista de gestão de estoque;Demais Ocupações;Demais Ocupações;Demais Ocupações
252720;Analista de projetos logisticos;Demais Ocupações;Demais Ocupações;Demais Ocupações
252715;Analista de logistica;Demais Ocupações;Demais Ocupações;Demais Ocupações
252705;Analista de pcp (programação e controle da produção);Demais Ocupações;Demais Ocupações;Demais Ocupações
252710;Analista de planejamento de materias;Demais Ocupações;Demais Ocupações;Demais Ocupações
253135;Diretor de contas (publicidade);Demais Ocupações;Demais Ocupações;Demais Ocupações
253130;Diretor de criação;Demais Ocupações;Demais Ocupações;Demais Ocupações
253125;Diretor de arte (publicidade);Demais Ocupações;Demais Ocupações;Demais Ocupações
253120;Diretor de mídia (publicidade);Demais Ocupações;Demais Ocupações;Demais Ocupações
253115;Publicitário;Demais Ocupações;Demais Ocupações;Demais Ocupações
253140;Agenciador de propaganda;Demais Ocupações;Demais Ocupações;Demais Ocupações
253110;Redator de publicidade;Demais Ocupações;Demais Ocupações;Demais Ocupações
253205;Gerente de captação (fundos e investimentos institucionais);Demais Ocupações;Demais Ocupações;Demais Ocupações
253210;Gerente de clientes especiais (private);Demais Ocupações;Demais Ocupações;Demais Ocupações
253215;Gerente de contas - pessoa física e jurídica;Demais Ocupações;Demais Ocupações;Demais Ocupações
253220;Gerente de grandes contas (corporate);Demais Ocupações;Demais Ocupações;Demais Ocupações
253225;Operador de negócios;Demais Ocupações;Demais Ocupações;Demais Ocupações
253305;Corretor de valores, ativos financeiros, mercadorias e derivativos;Demais Ocupações;Demais Ocupações;Demais Ocupações
254105;Auditor-fiscal da receita federal;Demais Ocupações;Demais Ocupações;Demais Ocupações
254110;Técnico da receita federal;Demais Ocupações;Demais Ocupações;Demais Ocupações
254205;Auditor-fiscal da previdência social;Demais Ocupações;Demais Ocupações;Demais Ocupações
254305;Auditor-fiscal do trabalho;Demais Ocupações;Demais Ocupações;Demais Ocupações
254310;Agente de higiene e segurança;Demais Ocupações;Demais Ocupações;Demais Ocupações
254405;Fiscal de tributos estadual;Demais Ocupações;Demais Ocupações;Demais Ocupações
254410;Fiscal de tributos municipal;Demais Ocupações;Demais Ocupações;Demais Ocupações
254415;Técnico de tributos estadual;Demais Ocupações;Demais Ocupações;Demais Ocupações
254420;Técnico de tributos municipal;Demais Ocupações;Demais Ocupações;Demais Ocupações
254505;Fiscal de atividades urbanas;Demais Ocupações;Demais Ocupações;Demais Ocupações
261140;Revisor de texto;Demais Ocupações;Demais Ocupações;Demais Ocupações
261110;Assessor de imprensa;Demais Ocupações;Demais Ocupações;Demais Ocupações
261115;Diretor de redação;Demais Ocupações;Demais Ocupações;Demais Ocupações
261120;Editor;Demais Ocupações;Demais Ocupações;Demais Ocupações
261125;Jornalista;Demais Ocupações;Demais Ocupações;Demais Ocupações
261130;Produtor de texto;Demais Ocupações;Demais Ocupações;Demais Ocupações
261105;Arquivista pesquisador (jornalismo);Demais Ocupações;Demais Ocupações;Demais Ocupações
261135;Repórter (exclusive rádio e televisão);Demais Ocupações;Demais Ocupações;Demais Ocupações
261210;Documentalista;Demais Ocupações;Demais Ocupações;Demais Ocupações
261215;Analista de informações (pesquisador de informações de rede);Demais Ocupações;Demais Ocupações;Demais Ocupações
261205;Bibliotecário;Demais Ocupações;Demais Ocupações;Demais Ocupações
261305;Arquivista;Demais Ocupações;Demais Ocupações;Demais Ocupações
261310;Museólogo;Demais Ocupações;Demais Ocupações;Demais Ocupações
261405;Filólogo;Demais Ocupações;Demais Ocupações;Demais Ocupações
261430;Audiodescritor;Demais Ocupações;Demais Ocupações;Demais Ocupações
261410;Intérprete;Demais Ocupações;Demais Ocupações;Demais Ocupações
261415;Lingüista;Demais Ocupações;Demais Ocupações;Demais Ocupações
261420;Tradutor;Demais Ocupações;Demais Ocupações;Demais Ocupações
261425;Intérprete de língua de sinais;Demais Ocupações;Demais Ocupações;Demais Ocupações
261530;Redator de textos técnicos;Demais Ocupações;Demais Ocupações;Demais Ocupações
261525;Poeta;Demais Ocupações;Demais Ocupações;Demais Ocupações
261520;Escritor de não ficção;Demais Ocupações;Demais Ocupações;Demais Ocupações
261515;Escritor de ficção;Demais Ocupações;Demais Ocupações;Demais Ocupações
261510;Crítico;Demais Ocupações;Demais Ocupações;Demais Ocupações
261505;Autor-roteirista;Demais Ocupações;Demais Ocupações;Demais Ocupações
261620;Editor de revista;Demais Ocupações;Demais Ocupações;Demais Ocupações
261625;Editor de revista científica;Demais Ocupações;Demais Ocupações;Demais Ocupações
261615;Editor de mídia eletrônica;Demais Ocupações;Demais Ocupações;Demais Ocupações
261610;Editor de livro;Demais Ocupações;Demais Ocupações;Demais Ocupações
261605;Editor de jornal;Demais Ocupações;Demais Ocupações;Demais Ocupações
261715;Locutor de mídias audiovisuais;Demais Ocupações;Demais Ocupações;Demais Ocupações
261705;Âncora de mídias audiovisuais;Demais Ocupações;Demais Ocupações;Demais Ocupações
261730;Repórter de mídias audiovisuais;Demais Ocupações;Demais Ocupações;Demais Ocupações
261710;Comentarista de mídias audiovisuais;Demais Ocupações;Demais Ocupações;Demais Ocupações
261805;Fotógrafo;Demais Ocupações;Demais Ocupações;Demais Ocupações
261815;Fotógrafo retratista;Demais Ocupações;Demais Ocupações;Demais Ocupações
261820;Repórter fotográfico;Demais Ocupações;Demais Ocupações;Demais Ocupações
261810;Fotógrafo publicitário;Demais Ocupações;Demais Ocupações;Demais Ocupações
261910;Assistente de direção (tv);Demais Ocupações;Demais Ocupações;Demais Ocupações
261905;Continuista;Demais Ocupações;Demais Ocupações;Demais Ocupações
262135;Tecnólogo em produção audiovisual;Demais Ocupações;Demais Ocupações;Demais Ocupações
262110;Produtor cinematográfico;Demais Ocupações;Demais Ocupações;Demais Ocupações
262105;Produtor cultural;Demais Ocupações;Demais Ocupações;Demais Ocupações
262130;Tecnólogo em produção fonográfica;Demais Ocupações;Demais Ocupações;Demais Ocupações
262125;Produtor de televisão;Demais Ocupações;Demais Ocupações;Demais Ocupações
262120;Produtor de teatro;Demais Ocupações;Demais Ocupações;Demais Ocupações
262115;Produtor de rádio;Demais Ocupações;Demais Ocupações;Demais Ocupações
262225;Diretor de programação;Demais Ocupações;Demais Ocupações;Demais Ocupações
262230;Diretor de produção;Demais Ocupações;Demais Ocupações;Demais Ocupações
262220;Diretor teatral;Demais Ocupações;Demais Ocupações;Demais Ocupações
262235;Diretor artistíco;Demais Ocupações;Demais Ocupações;Demais Ocupações
262205;Diretor de cinema;Demais Ocupações;Demais Ocupações;Demais Ocupações
262210;Diretor de programas de rádio;Demais Ocupações;Demais Ocupações;Demais Ocupações
262215;Diretor de programas de televisão;Demais Ocupações;Demais Ocupações;Demais Ocupações
262320;Cenógrafo de teatro;Demais Ocupações;Demais Ocupações;Demais Ocupações
262325;Cenógrafo de tv;Demais Ocupações;Demais Ocupações;Demais Ocupações
262330;Diretor de arte;Demais Ocupações;Demais Ocupações;Demais Ocupações
262305;Cenógrafo carnavalesco e festas populares;Demais Ocupações;Demais Ocupações;Demais Ocupações
262310;Cenógrafo de cinema;Demais Ocupações;Demais Ocupações;Demais Ocupações
262315;Cenógrafo de eventos;Demais Ocupações;Demais Ocupações;Demais Ocupações
262420;Desenhista industrial de produto (designer de produto);Demais Ocupações;Demais Ocupações;Demais Ocupações
262425;Desenhista industrial de produto de moda (designer de moda);Demais Ocupações;Demais Ocupações;Demais Ocupações
262405;Artista (artes visuais);Demais Ocupações;Demais Ocupações;Demais Ocupações
262415;Conservador-restaurador de bens  culturais;Demais Ocupações;Demais Ocupações;Demais Ocupações
262410;Desenhista industrial gráfico (designer gráfico);Demais Ocupações;Demais Ocupações;Demais Ocupações
262505;Ator;Demais Ocupações;Demais Ocupações;Demais Ocupações
262620;Musicólogo;Demais Ocupações;Demais Ocupações;Demais Ocupações
262615;Músico regente;Demais Ocupações;Demais Ocupações;Demais Ocupações
262610;Músico arranjador;Demais Ocupações;Demais Ocupações;Demais Ocupações
262605;Compositor;Demais Ocupações;Demais Ocupações;Demais Ocupações
262705;Músico intérprete cantor;Demais Ocupações;Demais Ocupações;Demais Ocupações
262710;Músico intérprete instrumentista;Demais Ocupações;Demais Ocupações;Demais Ocupações
262805;Assistente de coreografia;Demais Ocupações;Demais Ocupações;Demais Ocupações
262810;Bailarino (exceto danças populares);Demais Ocupações;Demais Ocupações;Demais Ocupações
262815;Coreógrafo;Demais Ocupações;Demais Ocupações;Demais Ocupações
262820;Dramaturgo de dança;Demais Ocupações;Demais Ocupações;Demais Ocupações
262825;Ensaiador de dança;Demais Ocupações;Demais Ocupações;Demais Ocupações
262830;Professor de dança;Demais Ocupações;Demais Ocupações;Demais Ocupações
262905;Decorador de interiores de nível superior;Demais Ocupações;Demais Ocupações;Demais Ocupações
263115;Teólogo;Demais Ocupações;Demais Ocupações;Demais Ocupações
263110;Missionário;Demais Ocupações;Demais Ocupações;Demais Ocupações
263105;Ministro de culto religioso;Demais Ocupações;Demais Ocupações;Demais Ocupações
271110;Tecnólogo em gastronomia;Demais Ocupações;Demais Ocupações;Demais Ocupações
271105;Chefe de cozinha;Demais Ocupações;Demais Ocupações;Demais Ocupações
300105;Técnico em mecatrônica - automação da manufatura;Demais Ocupações;Demais Ocupações;Técnicos
300110;Técnico em mecatrônica - robótica;Demais Ocupações;Demais Ocupações;Técnicos
300305;Técnico em eletromecânica;Demais Ocupações;Demais Ocupações;Técnicos
301115;Técnico químico de petróleo;Demais Ocupações;Demais Ocupações;Técnicos
301105;Técnico de laboratório industrial;Demais Ocupações;Demais Ocupações;Técnicos
301110;Técnico de laboratório de análises físico-químicas (materiais de construção);Demais Ocupações;Demais Ocupações;Técnicos
301205;Técnico de apoio à bioengenharia;Demais Ocupações;Demais Ocupações;Técnicos
311110;Técnico de celulose e papel;Demais Ocupações;Demais Ocupações;Técnicos
311115;Técnico em curtimento;Demais Ocupações;Demais Ocupações;Técnicos
311105;Técnico químico;Demais Ocupações;Demais Ocupações;Técnicos
311205;Técnico em petroquímica;Demais Ocupações;Demais Ocupações;Técnicos
311305;Técnico em materiais, produtos cerâmicos e vidros;Demais Ocupações;Demais Ocupações;Técnicos
311405;Técnico em borracha;Demais Ocupações;Demais Ocupações;Técnicos
311410;Técnico em plástico;Demais Ocupações;Demais Ocupações;Técnicos
311520;Técnico em tratamento de efluentes;Demais Ocupações;Demais Ocupações;Técnicos
311515;Técnico de utilidade (produção e distribuição de vapor, gases, óleos, combustíveis, energia);Demais Ocupações;Demais Ocupações;Técnicos
311510;Técnico de meteorologia;Demais Ocupações;Demais Ocupações;Técnicos
311505;Técnico de controle de meio ambiente;Demais Ocupações;Demais Ocupações;Técnicos
311610;Técnico têxtil (tratamentos químicos);Demais Ocupações;Demais Ocupações;Técnicos
311615;Técnico têxtil de fiação;Demais Ocupações;Demais Ocupações;Técnicos
311625;Técnico têxtil de tecelagem;Demais Ocupações;Demais Ocupações;Técnicos
311620;Técnico têxtil de malharia;Demais Ocupações;Demais Ocupações;Técnicos
311605;Técnico têxtil;Demais Ocupações;Demais Ocupações;Técnicos
311725;Tingidor de couros e peles;Demais Ocupações;Demais Ocupações;Demais Ocupações
311720;Preparador de tintas (fábrica de tecidos);Demais Ocupações;Demais Ocupações;Demais Ocupações
311715;Preparador de tintas;Demais Ocupações;Demais Ocupações;Demais Ocupações
311710;Colorista têxtil;Demais Ocupações;Demais Ocupações;Demais Ocupações
311705;Colorista de papel;Demais Ocupações;Demais Ocupações;Demais Ocupações
312105;Técnico de obras civis;Demais Ocupações;Demais Ocupações;Técnicos
312205;Técnico de estradas;Demais Ocupações;Demais Ocupações;Técnicos
312210;Técnico de saneamento;Demais Ocupações;Demais Ocupações;Técnicos
312315;Técnico em hidrografia;Demais Ocupações;Demais Ocupações;Técnicos
312320;Topógrafo;Demais Ocupações;Demais Ocupações;Técnicos
312310;Técnico em geodésia e cartografia;Demais Ocupações;Demais Ocupações;Técnicos
312305;Técnico em agrimensura;Demais Ocupações;Demais Ocupações;Técnicos
313115;Eletrotécnico na fabricação, montagem e instalação de máquinas e equipamentos;Demais Ocupações;Demais Ocupações;Técnicos
313130;Técnico eletricista;Demais Ocupações;Demais Ocupações;Técnicos
313105;Eletrotécnico;Demais Ocupações;Demais Ocupações;Técnicos
313110;Eletrotécnico (produção de energia);Demais Ocupações;Demais Ocupações;Técnicos
313125;Técnico de manutenção elétrica de máquina;Demais Ocupações;Demais Ocupações;Técnicos
313120;Técnico de manutenção elétrica;Demais Ocupações;Demais Ocupações;Técnicos
313215;Técnico eletrônico;Demais Ocupações;Demais Ocupações;Técnicos
313205;Técnico de manutenção eletrônica;Demais Ocupações;Demais Ocupações;Técnicos
313210;Técnico de manutenção eletrônica (circuitos de máquinas com comando numérico);Demais Ocupações;Demais Ocupações;Técnicos
313220;Técnico em manutenção de equipamentos de informática;Demais Ocupações;Demais Ocupações;Técnicos
313305;Técnico de comunicação de dados;Demais Ocupações;Demais Ocupações;Técnicos
313310;Técnico de rede (telecomunicações);Demais Ocupações;Demais Ocupações;Técnicos
313315;Técnico de telecomunicações (telefonia);Demais Ocupações;Demais Ocupações;Técnicos
313320;Técnico de transmissão (telecomunicações);Demais Ocupações;Demais Ocupações;Técnicos
313410;Técnico em instrumentação;Demais Ocupações;Demais Ocupações;Técnicos
313405;Técnico em calibração;Demais Ocupações;Demais Ocupações;Técnicos
313415;Encarregado de manutenção de instrumentos de controle, medição e similares;Demais Ocupações;Demais Ocupações;Técnicos
313505;Técnico em fotônica;Demais Ocupações;Demais Ocupações;Técnicos
314110;Técnico mecânico;Demais Ocupações;Demais Ocupações;Técnicos
314115;Técnico mecânico (calefação, ventilação e refrigeração);Demais Ocupações;Demais Ocupações;Técnicos
314120;Técnico mecânico (máquinas);Demais Ocupações;Demais Ocupações;Técnicos
314105;Técnico em mecânica de precisão;Demais Ocupações;Demais Ocupações;Técnicos
314125;Técnico mecânico (motores);Demais Ocupações;Demais Ocupações;Técnicos
314205;Técnico mecânico na fabricação de ferramentas;Demais Ocupações;Demais Ocupações;Técnicos
314210;Técnico mecânico na manutenção de ferramentas;Demais Ocupações;Demais Ocupações;Técnicos
314305;Técnico em automobilística;Demais Ocupações;Demais Ocupações;Demais Ocupações
314315;Técnico mecânico (embarcações);Demais Ocupações;Demais Ocupações;Demais Ocupações
314310;Técnico mecânico (aeronaves);Demais Ocupações;Demais Ocupações;Demais Ocupações
314405;Técnico de manutenção de sistemas e instrumentos;Demais Ocupações;Demais Ocupações;Técnicos
314410;Técnico em manutenção de máquinas;Demais Ocupações;Demais Ocupações;Técnicos
314605;Inspetor de soldagem;Demais Ocupações;Demais Ocupações;Técnicos
314610;Técnico em caldeiraria;Demais Ocupações;Demais Ocupações;Técnicos
314615;Técnico em estruturas metálicas;Demais Ocupações;Demais Ocupações;Técnicos
314620;Técnico em soldagem;Demais Ocupações;Demais Ocupações;Técnicos
314625;Tecnólogo em soldagem;Demais Ocupações;Demais Ocupações;Técnicos
314710;Técnico de aciaria em siderurgia;Demais Ocupações;Demais Ocupações;Técnicos
314705;Técnico de acabamento em siderurgia;Demais Ocupações;Demais Ocupações;Técnicos
314715;Técnico de fundição em siderurgia;Demais Ocupações;Demais Ocupações;Técnicos
314720;Técnico de laminação em siderurgia;Demais Ocupações;Demais Ocupações;Técnicos
314730;Técnico de refratário em siderurgia;Demais Ocupações;Demais Ocupações;Técnicos
314725;Técnico de redução na siderurgia (primeira fusão);Demais Ocupações;Demais Ocupações;Técnicos
316105;Técnico em geofísica;Demais Ocupações;Demais Ocupações;Técnicos
316110;Técnico em geologia;Demais Ocupações;Demais Ocupações;Técnicos
316115;Técnico em geoquímica;Demais Ocupações;Demais Ocupações;Técnicos
316120;Técnico em geotecnia;Demais Ocupações;Demais Ocupações;Técnicos
316325;Técnico de produção em refino de petróleo;Demais Ocupações;Demais Ocupações;Técnicos
316340;Cimentador (poços de petróleo);Demais Ocupações;Demais Ocupações;Técnicos
316335;Desincrustador (poços de petróleo);Demais Ocupações;Demais Ocupações;Técnicos
316330;Técnico em planejamento de lavra de minas;Demais Ocupações;Demais Ocupações;Técnicos
316320;Técnico em pesquisa mineral;Demais Ocupações;Demais Ocupações;Técnicos
316315;Técnico em processamento mineral (exceto petróleo);Demais Ocupações;Demais Ocupações;Técnicos
316310;Técnico de mineração (óleo e petróleo);Demais Ocupações;Demais Ocupações;Técnicos
316305;Técnico de mineração;Demais Ocupações;Demais Ocupações;Técnicos
317105;Programador de internet;Demais Ocupações;Demais Ocupações;Técnicos
317115;Programador de máquinas - ferramenta com comando numérico;Demais Ocupações;Demais Ocupações;Técnicos
317120;Programador de multimídia;Demais Ocupações;Demais Ocupações;Técnicos
317110;Programador de sistemas de informação;Demais Ocupações;Demais Ocupações;Técnicos
317210;Técnico de apoio ao usuário de informática (helpdesk);Demais Ocupações;Demais Ocupações;Técnicos
317205;Operador de computador (inclusive microcomputador);Demais Ocupações;Demais Ocupações;Técnicos
318010;Desenhista copista;Demais Ocupações;Demais Ocupações;Técnicos
318015;Desenhista detalhista;Demais Ocupações;Demais Ocupações;Técnicos
318005;Desenhista técnico;Demais Ocupações;Demais Ocupações;Técnicos
318120;Desenhista técnico (instalações hidrossanitárias);Demais Ocupações;Demais Ocupações;Técnicos
318115;Desenhista técnico (construção civil);Demais Ocupações;Demais Ocupações;Técnicos
318110;Desenhista técnico (cartografia);Demais Ocupações;Demais Ocupações;Técnicos
318105;Desenhista técnico (arquitetura);Demais Ocupações;Demais Ocupações;Técnicos
318210;Desenhista técnico aeronáutico;Demais Ocupações;Demais Ocupações;Técnicos
318205;Desenhista técnico mecânico;Demais Ocupações;Demais Ocupações;Técnicos
318215;Desenhista técnico naval;Demais Ocupações;Demais Ocupações;Técnicos
318310;Desenhista técnico (calefação, ventilação e refrigeração);Demais Ocupações;Demais Ocupações;Técnicos
318305;Desenhista técnico (eletricidade e eletrônica);Demais Ocupações;Demais Ocupações;Técnicos
318405;Desenhista técnico (artes gráficas);Demais Ocupações;Demais Ocupações;Técnicos
318425;Desenhista técnico (mobiliário);Demais Ocupações;Demais Ocupações;Técnicos
318430;Desenhista técnico de embalagens, maquetes e leiautes;Demais Ocupações;Demais Ocupações;Técnicos
318410;Desenhista técnico (ilustrações artísticas);Demais Ocupações;Demais Ocupações;Técnicos
318415;Desenhista técnico (ilustrações técnicas);Demais Ocupações;Demais Ocupações;Técnicos
318420;Desenhista técnico (indústria têxtil);Demais Ocupações;Demais Ocupações;Técnicos
318510;Desenhista projetista de construção civil;Demais Ocupações;Demais Ocupações;Técnicos
318505;Desenhista projetista de arquitetura;Demais Ocupações;Demais Ocupações;Técnicos
318610;Desenhista projetista mecânico;Demais Ocupações;Demais Ocupações;Técnicos
318605;Desenhista projetista de máquinas;Demais Ocupações;Demais Ocupações;Técnicos
318705;Desenhista projetista de eletricidade;Demais Ocupações;Demais Ocupações;Técnicos
318710;Desenhista projetista eletrônico;Demais Ocupações;Demais Ocupações;Técnicos
318805;Projetista de móveis;Demais Ocupações;Demais Ocupações;Técnicos
318815;Modelista de calçados;Demais Ocupações;Demais Ocupações;Técnicos
318810;Modelista de roupas;Demais Ocupações;Demais Ocupações;Técnicos
319110;Técnico em confecções do vestuário;Demais Ocupações;Demais Ocupações;Técnicos
319105;Técnico em calçados e artefatos de couro;Demais Ocupações;Demais Ocupações;Técnicos
319205;Técnico do mobiliário;Demais Ocupações;Demais Ocupações;Técnicos
320105;Técnico em bioterismo;Demais Ocupações;Demais Ocupações;Técnicos
320110;Técnico em histologia;Demais Ocupações;Demais Ocupações;Técnicos
321110;Técnico agropecuário;Demais Ocupações;Demais Ocupações;Técnicos
321105;Técnico agrícola;Demais Ocupações;Demais Ocupações;Técnicos
321210;Técnico florestal;Demais Ocupações;Demais Ocupações;Técnicos
321205;Técnico em madeira;Demais Ocupações;Demais Ocupações;Técnicos
321305;Técnico em piscicultura;Demais Ocupações;Demais Ocupações;Técnicos
321315;Técnico em mitilicultura;Demais Ocupações;Demais Ocupações;Técnicos
321310;Técnico em carcinicultura;Demais Ocupações;Demais Ocupações;Técnicos
321320;Técnico em ranicultura;Demais Ocupações;Demais Ocupações;Técnicos
322125;Terapeuta holístico;Demais Ocupações;Demais Ocupações;Demais Ocupações
322105;Técnico em acupuntura;Demais Ocupações;Demais Ocupações;Demais Ocupações
322135;Doula;Demais Ocupações;Demais Ocupações;Demais Ocupações
322130;Esteticista;Demais Ocupações;Demais Ocupações;Demais Ocupações
322120;Massoterapeuta;Demais Ocupações;Demais Ocupações;Demais Ocupações
322115;Técnico em quiropraxia;Demais Ocupações;Demais Ocupações;Demais Ocupações
322110;Podólogo;Demais Ocupações;Demais Ocupações;Demais Ocupações
322240;Auxiliar de saúde (navegação marítima);Demais Ocupações;Demais Ocupações;Demais Ocupações
322225;Instrumentador cirúrgico;Demais Ocupações;Demais Ocupações;Demais Ocupações
322230;Auxiliar de enfermagem;Demais Ocupações;Demais Ocupações;Demais Ocupações
322235;Auxiliar de enfermagem do trabalho;Demais Ocupações;Demais Ocupações;Demais Ocupações
322245;Técnico de enfermagem da estratégia de saúde da família;Demais Ocupações;Demais Ocupações;Demais Ocupações
322220;Técnico de enfermagem psiquiátrica;Demais Ocupações;Demais Ocupações;Demais Ocupações
322250;Auxiliar de enfermagem da estratégia de saúde da família;Demais Ocupações;Demais Ocupações;Demais Ocupações
322205;Técnico de enfermagem;Demais Ocupações;Demais Ocupações;Demais Ocupações
322210;Técnico de enfermagem de terapia intensiva;Demais Ocupações;Demais Ocupações;Demais Ocupações
322215;Técnico de enfermagem do trabalho;Demais Ocupações;Demais Ocupações;Demais Ocupações
322305;Técnico em óptica e optometria;Demais Ocupações;Demais Ocupações;Demais Ocupações
322430;Auxiliar em saúde bucal da estratégia de saúde da família;Demais Ocupações;Demais Ocupações;Técnicos
322425;Técnico em saúde bucal da estratégia de saúde da família;Demais Ocupações;Demais Ocupações;Técnicos
322420;Auxiliar de prótese dentária;Demais Ocupações;Demais Ocupações;Técnicos
322410;Protético dentário;Demais Ocupações;Demais Ocupações;Técnicos
322405;Técnico em saúde bucal;Demais Ocupações;Demais Ocupações;Técnicos
322415;Auxiliar em saúde bucal;Demais Ocupações;Demais Ocupações;Técnicos
322505;Técnico de ortopedia;Demais Ocupações;Demais Ocupações;Demais Ocupações
322605;Técnico de imobilização ortopédica;Demais Ocupações;Demais Ocupações;Demais Ocupações
323105;Técnico em pecuária;Demais Ocupações;Demais Ocupações;Técnicos
324130;Técnico em espirometria;Demais Ocupações;Demais Ocupações;Demais Ocupações
324125;Tecnólogo oftálmico;Demais Ocupações;Demais Ocupações;Demais Ocupações
324120;Tecnólogo em radiologia;Demais Ocupações;Demais Ocupações;Demais Ocupações
324115;Técnico em radiologia e imagenologia;Demais Ocupações;Demais Ocupações;Demais Ocupações
324110;Técnico em métodos gráficos em cardiologia;Demais Ocupações;Demais Ocupações;Demais Ocupações
324105;Técnico em métodos eletrográficos em encefalografia;Demais Ocupações;Demais Ocupações;Demais Ocupações
324220;Técnico em hemoterapia;Demais Ocupações;Demais Ocupações;Demais Ocupações
324215;Citotécnico;Demais Ocupações;Demais Ocupações;Demais Ocupações
324205;Técnico em patologia clínica;Demais Ocupações;Demais Ocupações;Demais Ocupações
325005;Enólogo;Demais Ocupações;Demais Ocupações;Técnicos
325010;Aromista;Demais Ocupações;Demais Ocupações;Técnicos
325015;Perfumista;Demais Ocupações;Demais Ocupações;Técnicos
325105;Auxiliar técnico em laboratório de farmácia;Demais Ocupações;Demais Ocupações;Técnicos
325115;Técnico em farmácia;Demais Ocupações;Demais Ocupações;Técnicos
325110;Técnico em laboratório de farmácia;Demais Ocupações;Demais Ocupações;Técnicos
325205;Técnico de alimentos;Demais Ocupações;Demais Ocupações;Técnicos
325210;Técnico em nutrição e dietética;Demais Ocupações;Demais Ocupações;Técnicos
325305;Técnico em biotecnologia;Demais Ocupações;Demais Ocupações;Técnicos
325310;Técnico em imunobiológicos;Demais Ocupações;Demais Ocupações;Técnicos
328105;Embalsamador;Demais Ocupações;Demais Ocupações;Demais Ocupações
328110;Taxidermista;Demais Ocupações;Demais Ocupações;Demais Ocupações
331105;Professor de nível médio na educação infantil;Demais Ocupações;Demais Ocupações;Demais Ocupações
331110;Auxiliar de desenvolvimento infantil;Demais Ocupações;Demais Ocupações;Demais Ocupações
331205;Professor de nível médio no ensino fundamental;Demais Ocupações;Demais Ocupações;Demais Ocupações
331305;Professor de nível médio no ensino profissionalizante;Demais Ocupações;Demais Ocupações;Demais Ocupações
332105;Professor leigo no ensino fundamental;Demais Ocupações;Demais Ocupações;Demais Ocupações
332205;Professor prático no ensino profissionalizante;Demais Ocupações;Demais Ocupações;Demais Ocupações
333105;Instrutor de auto-escola;Demais Ocupações;Demais Ocupações;Demais Ocupações
333110;Instrutor de cursos livres;Demais Ocupações;Demais Ocupações;Demais Ocupações
333115;Professores de cursos livres;Demais Ocupações;Demais Ocupações;Demais Ocupações
334110;Inspetor de alunos de escola pública;Demais Ocupações;Demais Ocupações;Demais Ocupações
334105;Inspetor de alunos de escola privada;Demais Ocupações;Demais Ocupações;Demais Ocupações
334115;Monitor de transporte escolar;Demais Ocupações;Demais Ocupações;Demais Ocupações
341120;Piloto agrícola;Demais Ocupações;Demais Ocupações;Demais Ocupações
341115;Mecânico de vôo;Demais Ocupações;Demais Ocupações;Demais Ocupações
341110;Piloto comercial de helicóptero (exceto linhas aéreas);Demais Ocupações;Demais Ocupações;Demais Ocupações
341105;Piloto comercial (exceto linhas aéreas);Demais Ocupações;Demais Ocupações;Demais Ocupações
341250;Auxiliar técnico de sinalização nautica;Demais Ocupações;Demais Ocupações;Demais Ocupações
341230;Piloto fluvial;Demais Ocupações;Demais Ocupações;Demais Ocupações
341225;Patrão de pesca na navegação interior;Demais Ocupações;Demais Ocupações;Demais Ocupações
341220;Patrão de pesca de alto-mar;Demais Ocupações;Demais Ocupações;Demais Ocupações
341215;Mestre fluvial;Demais Ocupações;Demais Ocupações;Demais Ocupações
341210;Mestre de cabotagem;Demais Ocupações;Demais Ocupações;Demais Ocupações
341205;Contramestre de cabotagem;Demais Ocupações;Demais Ocupações;Demais Ocupações
341235;Ténico em sinalização nautica;Demais Ocupações;Demais Ocupações;Demais Ocupações
341245;Técnico em sinais navais;Demais Ocupações;Demais Ocupações;Demais Ocupações
341240;Técnicos em manobras em equipamentos de convés;Demais Ocupações;Demais Ocupações;Demais Ocupações
341320;Condutor de máquinas (bombeador);Demais Ocupações;Demais Ocupações;Demais Ocupações
341315;Eletricista de bordo;Demais Ocupações;Demais Ocupações;Demais Ocupações
341325;Condutor de máquinas (mecânico);Demais Ocupações;Demais Ocupações;Demais Ocupações
341310;Condutor de máquinas;Demais Ocupações;Demais Ocupações;Demais Ocupações
341305;Condutor maquinista motorista fluvial;Demais Ocupações;Demais Ocupações;Demais Ocupações
342110;Operador de transporte multimodal;Demais Ocupações;Demais Ocupações;Demais Ocupações
342115;Controlador de serviços de máquinas e veículos;Demais Ocupações;Demais Ocupações;Demais Ocupações
342120;Afretador;Demais Ocupações;Demais Ocupações;Demais Ocupações
342125;Tecnólogo em logística de transporte;Demais Ocupações;Demais Ocupações;Demais Ocupações
342105;Analista de transporte em comércio exterior;Demais Ocupações;Demais Ocupações;Demais Ocupações
342210;Despachante aduaneiro;Demais Ocupações;Demais Ocupações;Demais Ocupações
342215;Analista de desembaraço aduaneiro;Demais Ocupações;Demais Ocupações;Demais Ocupações
