CBO 94 Ocupação;CBO 02;nomenclatura;POTECoriginal;potec;Potec Grupo
13990;234505;Outros  professores  de  ensino superior não classificados sob outras epígrafes;Professores de ensino superior;Demais Ocupações;Demais Ocupações
14115;232145;Professor de língua portuguesa e literatura brasileira (ensino2o. grau);Demais Ocupações;Demais Ocupações;Demais Ocupações
14120;232150;Professor de línguas estrangeiras modernas (ensino de 2o. grau);Demais Ocupações;Demais Ocupações;Demais Ocupações
14125;232135;Professsor de geografia (ensino de 2o. grau);Demais Ocupações;Demais Ocupações;Demais Ocupações
14130;232140;Professor de história (ensino de 2o. grau);Demais Ocupações;Demais Ocupações;Demais Ocupações
14135;232140;Professor de organização social e política do Brasil (ensino de 2o. grau);Demais Ocupações;Demais Ocupações;Demais Ocupações
14140;232160;Professor de psicologia (ensino de 2o. grau);Demais Ocupações;Demais Ocupações;Demais Ocupações
14145;232155;Professor de matemática (ensino de 2o. grau);Demais Ocupações;Demais Ocupações;Demais Ocupações
14150;232130;Professor de física (ensino de 2o. grau);Demais Ocupações;Demais Ocupações;Demais Ocupações
14155;232165;Professor de química (ensino de 2o. grau);Demais Ocupações;Demais Ocupações;Demais Ocupações
14160;232110;Professor de biologia (ensino de 2o. grau);Demais Ocupações;Demais Ocupações;Demais Ocupações
14165;232115;Professor  de  disciplinas  pedagógicas (ensino de 2o. grau);Demais Ocupações;Demais Ocupações;Demais Ocupações
14170;233130;Professor  de  técnicas industriais (ensino de 2o. grau);Professores de ensino Profissional;Demais Ocupações;Demais Ocupações
14175;233120;Professor  de  técnicas  comerciais  e secretarias (ensino de 2o. grau);Professores de ensino Profissional;Demais Ocupações;Demais Ocupações
14180;233115;Professor  de  técnicas  agrícolas  (ensino de 2o. grau);Professores de ensino Profissional;Demais Ocupações;Demais Ocupações
14185;233125;Professor de técnicas de enfermagem (ensino de 2o. grau);Professores de ensino Profissional;Demais Ocupações;Demais Ocupações
14190;231310;Outros professores de ensino de 2o. grau;Demais Ocupações;Demais Ocupações;Demais Ocupações
14220;231210;Professor de 1a. a 4a. série (ensino de 1o. grau);Demais Ocupações;Demais Ocupações;Demais Ocupações
14230;231335;Professor  de  comunicação  e  expressão em língua portuguesa (ensino de 1o. grau);Demais Ocupações;Demais Ocupações;Demais Ocupações
14240;231340;Professor de matemática (ensino de 1o. grau);Demais Ocupações;Demais Ocupações;Demais Ocupações
14250;231305;Professor   de   ciências  naturais (ensino de 1o. grau);Demais Ocupações;Demais Ocupações;Demais Ocupações
14260;231325;Professor de estudos sociais (ensino de 1o. grau);Demais Ocupações;Demais Ocupações;Demais Ocupações
14290;231205;Outros professores de ensino de primeiro grau;Demais Ocupações;Demais Ocupações;Demais Ocupações
14320;231105;Professor de ensino pré-escolar;Demais Ocupações;Demais Ocupações;Demais Ocupações
14390;231105;Outros professores de ensino pré-escolar;Demais Ocupações;Demais Ocupações;Demais Ocupações
14420;233135;Professor  de tecnologia e cálculo técnico (formação profissional);Professores de ensino Profissional;Demais Ocupações;Demais Ocupações
14430;233110;Professor  de desenho técnico (formação profissional);Professores de ensino Profissional;Demais Ocupações;Demais Ocupações
14440;233210;Instrutor de aprendizagem e treinamento industrial (formação profissional);Professores de ensino Profissional;Demais Ocupações;Demais Ocupações
14450;233215;Instrutor de aprendizagem e treinamento comercial (formação profissional);Professores de ensino Profissional;Demais Ocupações;Demais Ocupações
14460;233205;Instrutor de aprendizagem e treinamento agropecuário (formação profissional);Professores de ensino Profissional;Demais Ocupações;Demais Ocupações
14490;233110;Outros professores e instrutores de formação pro- fissioanal;Professores de ensino Profissional;Demais Ocupações;Demais Ocupações
14520;239215;Professor de alunos com deficências mentais;Demais Ocupações;Demais Ocupações;Demais Ocupações
14530;239225;Professor de cegos;Demais Ocupações;Demais Ocupações;Demais Ocupações
14540;239205;Professor de surdos-mudos;Demais Ocupações;Demais Ocupações;Demais Ocupações
14590;239210;Outros professores de ensino especial;Demais Ocupações;Demais Ocupações;Demais Ocupações
14920;121010;Diretor de estabelecimento de ensino (exceto ensino superior);Demais Ocupações;Demais Ocupações;Demais Ocupações
14930;239430;Supervisor educacional;Demais Ocupações;Demais Ocupações;Demais Ocupações
14940;239410;Orientador educacional;Demais Ocupações;Demais Ocupações;Demais Ocupações
14945;239415;Pedagogo;Demais Ocupações;Demais Ocupações;Demais Ocupações
14950;239405;Coordenador de ensino;Demais Ocupações;Demais Ocupações;Demais Ocupações
14960;239420;Professor de técnicas audiovisuais;Demais Ocupações;Demais Ocupações;Demais Ocupações
14990;231205;Outros  professores  não classificados sob  outras epígrafes;Demais Ocupações;Demais Ocupações;Demais Ocupações
15120;261515;Escritor;Demais Ocupações;Demais Ocupações;Demais Ocupações
15130;261510;Crítico;Demais Ocupações;Demais Ocupações;Demais Ocupações
15190;261510;Outros escritores e críticos;Demais Ocupações;Demais Ocupações;Demais Ocupações
15210;261125;Jornalista, em geral;Demais Ocupações;Demais Ocupações;Demais Ocupações
15220;261115;Redator-chefe (jornal ou revista);Demais Ocupações;Demais Ocupações;Demais Ocupações
15230;261140;Secretário de redação;Demais Ocupações;Demais Ocupações;Demais Ocupações
15240;261135;Repórter;Demais Ocupações;Demais Ocupações;Demais Ocupações
15245;261120;Copidesque;Demais Ocupações;Demais Ocupações;Demais Ocupações
15250;261505;Redator de roteiros de cinema, rádio e televisão;Demais Ocupações;Demais Ocupações;Demais Ocupações
15260;261505;Redator-chefe de roteiros de cinema, rádio e televisão;Demais Ocupações;Demais Ocupações;Demais Ocupações
15270;253110;Redator de publicidade;Demais Ocupações;Demais Ocupações;Demais Ocupações
15275;253110;Redator de informação pública;Demais Ocupações;Demais Ocupações;Demais Ocupações
15280;261530;Redator técnico;Demais Ocupações;Demais Ocupações;Demais Ocupações
15290;253110;Outros jornalistas e redatores;Demais Ocupações;Demais Ocupações;Demais Ocupações
15310;261715;Locutor, em geral;Demais Ocupações;Demais Ocupações;Demais Ocupações
15320;261715;Locutor de telejornal;Demais Ocupações;Demais Ocupações;Demais Ocupações
15330;261710;Comentarista de rádio e televisão;Demais Ocupações;Demais Ocupações;Demais Ocupações
15340;261715;Locutor esportivo;Demais Ocupações;Demais Ocupações;Demais Ocupações
15390;261710;Outros locutores e comentaristas de rádio e tele- visão;Demais Ocupações;Demais Ocupações;Demais Ocupações
15945;261610;Editor de livros;Demais Ocupações;Demais Ocupações;Demais Ocupações
15947;253115;Agente publicitário;Demais Ocupações;Demais Ocupações;Demais Ocupações
15955;253105;Relações públicas;Demais Ocupações;Demais Ocupações;Demais Ocupações
15970;253105;Técnico de comunicação;Demais Ocupações;Demais Ocupações;Demais Ocupações
15990;261305;Outros escritores,  jornalistas, redatores locutores trabalhadores  assemelhados  não classificados;Demais Ocupações;Demais Ocupações;Demais Ocupações
16120;262405;Escultor;Demais Ocupações;Demais Ocupações;Demais Ocupações
16130;262405;Pintor artístico;Demais Ocupações;Demais Ocupações;Demais Ocupações
16140;262405;Caricaturista;Demais Ocupações;Demais Ocupações;Demais Ocupações
16150;262405;Gravador artístico;Demais Ocupações;Demais Ocupações;Demais Ocupações
16160;262405;Restaurador de pinturas;Demais Ocupações;Demais Ocupações;Demais Ocupações
16190;214115;Outros  escultores, pintores e trabalhadores assemelhados;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
16310;261805;Fotógrafo, em geral;Demais Ocupações;Demais Ocupações;Demais Ocupações
16320;261815;Fotógrafo retratista;Demais Ocupações;Demais Ocupações;Demais Ocupações
16330;261810;Fotógrafo publicitário;Demais Ocupações;Demais Ocupações;Demais Ocupações
16340;261820;Repórter fotográfico;Demais Ocupações;Demais Ocupações;Demais Ocupações
16350;372105;Diretor de fotografia (cinema);Demais Ocupações;Demais Ocupações;Demais Ocupações
16360;372115;Cinegrafista;Demais Ocupações;Demais Ocupações;Demais Ocupações
16370;372115;Operador de câmera de televisão;Demais Ocupações;Demais Ocupações;Demais Ocupações
16390;261805;Outros fotógrafos, operadores de câmeras de cinema e televisão e trabalhadores assemelhados;Demais Ocupações;Demais Ocupações;Demais Ocupações
16400;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
16416;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
16432;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
16448;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
17120;262605;Compositor musical;Demais Ocupações;Demais Ocupações;Demais Ocupações
17130;262610;Orquestrador;Demais Ocupações;Demais Ocupações;Demais Ocupações
17135;262615;Regente de orquestra ou banda de música;Demais Ocupações;Demais Ocupações;Demais Ocupações
17140;262610;Músico;Demais Ocupações;Demais Ocupações;Demais Ocupações
17145;262705;Cantor;Demais Ocupações;Demais Ocupações;Demais Ocupações
17150;262615;Regente de grupo coral;Demais Ocupações;Demais Ocupações;Demais Ocupações
17190;262615;Outros compositores, músicos e cantores;Demais Ocupações;Demais Ocupações;Demais Ocupações
17220;262815;Coreógrafo;Demais Ocupações;Demais Ocupações;Demais Ocupações
17225;262320;Cenógrafo;Demais Ocupações;Demais Ocupações;Demais Ocupações
17230;262810;Bailarino;Demais Ocupações;Demais Ocupações;Demais Ocupações
17290;374210;Outros coreógrafos e bailarinos;Demais Ocupações;Demais Ocupações;Demais Ocupações
17320;262505;Ator;Demais Ocupações;Demais Ocupações;Demais Ocupações
17330;262220;Diretor teatral;Demais Ocupações;Demais Ocupações;Demais Ocupações
17345;262205;Diretor de cinema;Demais Ocupações;Demais Ocupações;Demais Ocupações
17355;262215;Diretor  de  representações  dramáticas de rádio e televisão;Demais Ocupações;Demais Ocupações;Demais Ocupações
17390;262505;Outros atores e diretores de espetáculos;Demais Ocupações;Demais Ocupações;Demais Ocupações
17420;262120;Produtor teatral;Demais Ocupações;Demais Ocupações;Demais Ocupações
17430;262110;Produtor cinematográfico;Demais Ocupações;Demais Ocupações;Demais Ocupações
17440;262115;Produtor de rádio e televisão;Demais Ocupações;Demais Ocupações;Demais Ocupações
17450;262105;Empresário de espetáculos;Demais Ocupações;Demais Ocupações;Demais Ocupações
17490;262105;Outros empresários e produtores de espetáculos;Demais Ocupações;Demais Ocupações;Demais Ocupações
17520;376245;Palhaço;Demais Ocupações;Demais Ocupações;Demais Ocupações
17530;376235;Prestidigitador;Demais Ocupações;Demais Ocupações;Demais Ocupações
17540;376205;Acrobata;Demais Ocupações;Demais Ocupações;Demais Ocupações
17550;376255;Trapezista;Demais Ocupações;Demais Ocupações;Demais Ocupações
17590;376215;Outros artistas de circo;Demais Ocupações;Demais Ocupações;Demais Ocupações
17930;376305;Apresentador de espetáculos;Demais Ocupações;Demais Ocupações;Demais Ocupações
17990;262105;Outros músicos, artistas, empresários e produtores de  espetáculos  não classificados sob outras epí;Demais Ocupações;Demais Ocupações;Demais Ocupações
18120;224125;Professor   de   educação   física   (ginástica  e desportos);Demais Ocupações;Demais Ocupações;Demais Ocupações
18125;224120;Preparador físico;Demais Ocupações;Demais Ocupações;Demais Ocupações
18130;224135;Técnico de futebol;Demais Ocupações;Demais Ocupações;Demais Ocupações
18135;224125;Técnico de basquetebol;Demais Ocupações;Demais Ocupações;Demais Ocupações
18140;224125;Técnico de natação;Demais Ocupações;Demais Ocupações;Demais Ocupações
18145;224115;Técnico de atletismo;Demais Ocupações;Demais Ocupações;Demais Ocupações
18150;224125;Técnico de tênis;Demais Ocupações;Demais Ocupações;Demais Ocupações
18155;224125;Técnico de voleibol;Demais Ocupações;Demais Ocupações;Demais Ocupações
18160;224125;Técnico de boxe;Demais Ocupações;Demais Ocupações;Demais Ocupações
18190;224125;Outros  técnicos desportivos e trabalhadores assemelhados;Demais Ocupações;Demais Ocupações;Demais Ocupações
18220;377110;Atleta profissional de futebol;Demais Ocupações;Demais Ocupações;Demais Ocupações
18230;377135;Piloto de corrida (automóveis);Demais Ocupações;Demais Ocupações;Demais Ocupações
18240;377130;Jóquei;Demais Ocupações;Demais Ocupações;Demais Ocupações
18250;377145;Pugilista;Demais Ocupações;Demais Ocupações;Demais Ocupações
18290;377105;Outros atletas profissionais;Demais Ocupações;Demais Ocupações;Demais Ocupações
18920;377205;Árbitro desportivo;Demais Ocupações;Demais Ocupações;Demais Ocupações
18990;224130;Outros técnicos desportivos, atletas profissionais e  trabalhadores   assemelhados  não-classificado;Demais Ocupações;Demais Ocupações;Demais Ocupações
19120;261205;Bibliotecário;Demais Ocupações;Demais Ocupações;Demais Ocupações
19125;261210;Documentalista;Demais Ocupações;Demais Ocupações;Demais Ocupações
19130;261305;Arquivologista;Demais Ocupações;Demais Ocupações;Demais Ocupações
19140;261310;Museólogo;Demais Ocupações;Demais Ocupações;Demais Ocupações
19145;212305;Administrador de banco de dados (CPD);Profissionais da Informática;Profissionais da Informática;Profissionais Científicos
19190;261305;Outros  bibliotecários, arquivologistas e museólogos;Demais Ocupações;Demais Ocupações;Demais Ocupações
19220;251120;Sociólogo;Demais Ocupações;Demais Ocupações;Demais Ocupações
19225;251610;Economista doméstico;Demais Ocupações;Demais Ocupações;Demais Ocupações
19240;251105;Antropólogo;Demais Ocupações;Demais Ocupações;Demais Ocupações
19245;251110;Arqueólogo;Demais Ocupações;Demais Ocupações;Demais Ocupações
19250;251305;Geógrafo;Demais Ocupações;Demais Ocupações;Demais Ocupações
19260;203520;Historiador;Pesquisadores;Pesquisadores;Pesquisadores
19270;251115;Cientista político;Demais Ocupações;Demais Ocupações;Demais Ocupações
19290;251405;Outros  sociólogos,  antropólogos  e trabalhadores assemelhados;Demais Ocupações;Demais Ocupações;Demais Ocupações
19520;261405;Filólogo;Demais Ocupações;Demais Ocupações;Demais Ocupações
19530;261420;Tradutor;Demais Ocupações;Demais Ocupações;Demais Ocupações
19540;261410;Intérprete;Demais Ocupações;Demais Ocupações;Demais Ocupações
19590;261420;Outros filólogos, tradutores e intérpretes;Demais Ocupações;Demais Ocupações;Demais Ocupações
19620;263105;Ministro de culto religioso;Demais Ocupações;Demais Ocupações;Demais Ocupações
19630;263110;Missionário;Demais Ocupações;Demais Ocupações;Demais Ocupações
19640;263115;Teólogo;Demais Ocupações;Demais Ocupações;Demais Ocupações
19690;263105;Outros membros de culto religioso e trabalhadores assemelhados;Demais Ocupações;Demais Ocupações;Demais Ocupações
19720;252405;Analista de ocupações;Demais Ocupações;Demais Ocupações;Demais Ocupações
19730;252405;Analista de cargos e salários;Demais Ocupações;Demais Ocupações;Demais Ocupações
19735;252405;Analista de recursos humanos;Demais Ocupações;Demais Ocupações;Demais Ocupações
19790;252405;Outros  analistas de ocupações e trabalhadores assemelhados;Demais Ocupações;Demais Ocupações;Demais Ocupações
19835;354305;Analista de importação e exportação;Demais Ocupações;Demais Ocupações;Demais Ocupações
19847;351720;Assistente técnico de seguros;Demais Ocupações;Demais Ocupações;Demais Ocupações
19850;351740;Técnico de seguros;Demais Ocupações;Demais Ocupações;Demais Ocupações
19855;351705;Analista de seguros;Demais Ocupações;Demais Ocupações;Demais Ocupações
19890;354305;Outros técnicos, analistas de seguro, de  importação e trabalhadores assemelhados;Demais Ocupações;Demais Ocupações;Demais Ocupações
19920;241030;Agente de marcas e patentes;Demais Ocupações;Demais Ocupações;Demais Ocupações
19945;253125;Analista de pesquisa de mercado;Demais Ocupações;Demais Ocupações;Demais Ocupações
19955;253120;Analista de comercialização;Demais Ocupações;Demais Ocupações;Demais Ocupações
19960;516705;Astrólogo;Demais Ocupações;Demais Ocupações;Demais Ocupações
19990;213205;Outros  trabalhadores  das profissões científicas, técnicas, artísticas  e trabalhadores assemelhado;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
20496;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
20512;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
20528;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
20544;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
21120;111105;Senador;Demais Ocupações;Demais Ocupações;Demais Ocupações
21130;111110;Deputado federal;Demais Ocupações;Demais Ocupações;Demais Ocupações
21135;111115;Deputado estadual;Demais Ocupações;Demais Ocupações;Demais Ocupações
21140;111120;Vereador;Demais Ocupações;Demais Ocupações;Demais Ocupações
21220;111225;Membros superior do Poder Executivo;Demais Ocupações;Demais Ocupações;Demais Ocupações
21320;111330;Juiz federal;Demais Ocupações;Demais Ocupações;Demais Ocupações
21330;111340;Juiz estadual;Demais Ocupações;Demais Ocupações;Demais Ocupações
21340;111340;Juiz militar;Demais Ocupações;Demais Ocupações;Demais Ocupações
21350;111345;Juiz do trabalho;Demais Ocupações;Demais Ocupações;Demais Ocupações
21390;111305;Outros membros superiores do Poder Judiciário;Demais Ocupações;Demais Ocupações;Demais Ocupações
21420;111405;Funcionário público federal superior;Demais Ocupações;Demais Ocupações;Demais Ocupações
21430;111410;Funcionário público estadual superior;Demais Ocupações;Demais Ocupações;Demais Ocupações
21440;111415;Funcionário público municipal superior;Demais Ocupações;Demais Ocupações;Demais Ocupações
21490;252105;Outros funcionários públicos superiores;Demais Ocupações;Demais Ocupações;Demais Ocupações
22120;111405;Ministro (diplomacia);Demais Ocupações;Demais Ocupações;Demais Ocupações
22130;111405;Conselheiro (diplomacia);Demais Ocupações;Demais Ocupações;Demais Ocupações
22140;111405;Secretário (diplomacia);Demais Ocupações;Demais Ocupações;Demais Ocupações
22190;111405;Outros Diplomatas;Demais Ocupações;Demais Ocupações;Demais Ocupações
23120;121010;Diretor  de empresa manufatureira produtos alimentares, bebidas e fumo);Demais Ocupações;Demais Ocupações;Demais Ocupações
23130;121010;Diretores  de empresa manufatureira (têxteis, vestuário, calçados e artefatos de couro);Demais Ocupações;Demais Ocupações;Demais Ocupações
23140;121010;Diretor de  empresa manufatureira (produtos de madeira, inclusive mobiliário);Demais Ocupações;Demais Ocupações;Demais Ocupações
23150;121010;Diretor de empresa manufatureira (papel, papelão e artes gráficas);Demais Ocupações;Demais Ocupações;Demais Ocupações
23160;121010;Diretor  de  empresa  manufatureira (substâncias e produtos químicos);Demais Ocupações;Demais Ocupações;Demais Ocupações
23165;121010;Diretor  de  empresa  manufatureira (minerais não-metálicos, exceto produtos derivados do petróleo c;Demais Ocupações;Demais Ocupações;Demais Ocupações
23170;121010;Diretor de empresa manufatureira (metalurgia e siderurgia);Demais Ocupações;Demais Ocupações;Demais Ocupações
23180;121010;Diretor  de empresa manufatureira (máquina e equipamentos mecânicos);Demais Ocupações;Demais Ocupações;Demais Ocupações
23190;121005;Outros diretores de empresa manufatureiras;Demais Ocupações;Demais Ocupações;Demais Ocupações
23220;121010;Diretor de empresa agropecuária;Demais Ocupações;Demais Ocupações;Demais Ocupações
23230;121010;Diretor de empresa pesqueira;Demais Ocupações;Demais Ocupações;Demais Ocupações
23240;121010;Diretor  de  empresa de extração de petróleo e gás natural;Demais Ocupações;Demais Ocupações;Demais Ocupações
23250;121010;Diretor de empresa de extração de minerais;Demais Ocupações;Demais Ocupações;Demais Ocupações
23290;214705;Outros  diretores  de empresas agropecuárias, pesqueiras extrativas;Engenheiros Civis etc;Engenheiros Civis etc;Engenheiros
23320;121010;Diretor de empresa de produção e distribuição de energia elétrica;Demais Ocupações;Demais Ocupações;Demais Ocupações
23330;121010;Diretor de empresas de produção e distribuição de gás;Demais Ocupações;Demais Ocupações;Demais Ocupações
23340;121010;Diretor de empresa de serviços de água e esgoto;Demais Ocupações;Demais Ocupações;Demais Ocupações
23390;121005;Outros diretores de empresas de produção e distribuição  de  energia elétrica, gás e de serviços de;Demais Ocupações;Demais Ocupações;Demais Ocupações
23420;121010;Diretor de empresa de construção civil;Demais Ocupações;Demais Ocupações;Demais Ocupações
23490;121005;Outros diretores de empresas de construção civil;Demais Ocupações;Demais Ocupações;Demais Ocupações
23520;121010;Diretor de empresa de comércio atacadista;Demais Ocupações;Demais Ocupações;Demais Ocupações
23530;121010;Diretor de empresa de comércio varejista;Demais Ocupações;Demais Ocupações;Demais Ocupações
23540;121010;Diretor de empresa hoteleira;Demais Ocupações;Demais Ocupações;Demais Ocupações
23590;121005;Outros diretores de empresas de comércio atacadista e varejista, de empresas hoteleiras e estabeleci;Demais Ocupações;Demais Ocupações;Demais Ocupações
23620;121010;Diretor de empresa de transporte terrestre;Demais Ocupações;Demais Ocupações;Demais Ocupações
23630;121010;Diretor de empresa de transporte aéreo;Demais Ocupações;Demais Ocupações;Demais Ocupações
23640;121010;Diretor  de empresa de transporte marítimo e interior;Demais Ocupações;Demais Ocupações;Demais Ocupações
23650;121010;Diretor de empresa de comunicações;Demais Ocupações;Demais Ocupações;Demais Ocupações
23690;121005;Outros  diretores de empresas de transportes e comunicações;Demais Ocupações;Demais Ocupações;Demais Ocupações
23720;121010;Diretor de empresa financeira;Demais Ocupações;Demais Ocupações;Demais Ocupações
23730;121010;Diretor de companhia de seguros;Demais Ocupações;Demais Ocupações;Demais Ocupações
23740;121010;Diretor de empresa imobiliária;Demais Ocupações;Demais Ocupações;Demais Ocupações
23750;121010;Diretor de empresa de prestação de serviços;Demais Ocupações;Demais Ocupações;Demais Ocupações
23790;121005;Outros   diretores de empresas financeiras, imobiliárias,  companhias de seguros, empresas de presta;Demais Ocupações;Demais Ocupações;Demais Ocupações
23820;121010;Diretor  de  empresa de serviços clínicos e hospitalares;Demais Ocupações;Demais Ocupações;Demais Ocupações
23830;121010;Diretor de empresa de serviços sociais;Demais Ocupações;Demais Ocupações;Demais Ocupações
23840;121010;Diretor de empresa de serviços culturais;Demais Ocupações;Demais Ocupações;Demais Ocupações
23890;114405;Outros  diretores  de empresas de serviços comutários e sociais;Demais Ocupações;Demais Ocupações;Demais Ocupações
23910;121010;Diretor  de  empresa  (atividade não bem especificada);Demais Ocupações;Demais Ocupações;Demais Ocupações
23990;121010;Outros diretores de empresas não-classificados sob-outras epígrafes;Demais Ocupações;Demais Ocupações;Demais Ocupações
24120;142105;Gerente administrativo;Demais Ocupações;Demais Ocupações;Demais Ocupações
24125;142105;Gerente executivo;Demais Ocupações;Demais Ocupações;Demais Ocupações
24130;142210;Gerente de pessoal;Demais Ocupações;Demais Ocupações;Demais Ocupações
24140;142310;Gerente de relações públicas;Demais Ocupações;Demais Ocupações;Demais Ocupações
24150;142205;Gerente de recrutamento seleção e treinamento;Demais Ocupações;Demais Ocupações;Demais Ocupações
24190;252105;Outros gerentes administrativos e assemelhados;Demais Ocupações;Demais Ocupações;Demais Ocupações
24220;142105;Gerente de produção;Demais Ocupações;Demais Ocupações;Demais Ocupações
24230;142605;Gerente de pesquisa e desenvolvimento;Diretores e Gerentes de P&D;Diretores e Gerentes de P&D;Diretores e Gerentes de P&D
24240;142105;Gerente de planejamento;Demais Ocupações;Demais Ocupações;Demais Ocupações
24290;121005;Outros gerentes de  produção, de  planejamento  de pesquisa e desenvolvimento;Demais Ocupações;Demais Ocupações;Demais Ocupações
24320;142115;Gerente financeiro;Demais Ocupações;Demais Ocupações;Demais Ocupações
24325;141710;Gerente de banco (agência);Demais Ocupações;Demais Ocupações;Demais Ocupações
24330;142305;Gerente comercial;Demais Ocupações;Demais Ocupações;Demais Ocupações
24335;141720;Gerente de crédito;Demais Ocupações;Demais Ocupações;Demais Ocupações
24340;142405;Gerente de compra;Demais Ocupações;Demais Ocupações;Demais Ocupações
24345;351710;Gerente de sinistro;Demais Ocupações;Demais Ocupações;Demais Ocupações
24347;141715;Gerente de câmbio;Demais Ocupações;Demais Ocupações;Demais Ocupações
24350;142320;Gerente de vendas;Demais Ocupações;Demais Ocupações;Demais Ocupações
24355;141705;Gerente de produtos (financeiros);Demais Ocupações;Demais Ocupações;Demais Ocupações
24360;142310;Gerente de propaganda;Demais Ocupações;Demais Ocupações;Demais Ocupações
24365;141720;Gerente de administração de carteiras;Demais Ocupações;Demais Ocupações;Demais Ocupações
24370;142315;Gerente de marketing;Demais Ocupações;Demais Ocupações;Demais Ocupações
24390;121005;Outros  gerentes  financeiros, comerciais, de marketing e de publicidade;Demais Ocupações;Demais Ocupações;Demais Ocupações
24592;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
24608;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
24624;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
24640;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
24910;141205;Gerente de operação;Demais Ocupações;Demais Ocupações;Demais Ocupações
24920;141605;Gerente de operações de serviços de transporte;Demais Ocupações;Demais Ocupações;Demais Ocupações
24930;141610;Gerente  de operações de serviços postais e de telecomunicações;Demais Ocupações;Demais Ocupações;Demais Ocupações
24940;141705;Gerente de processamento operacional;Demais Ocupações;Demais Ocupações;Demais Ocupações
24990;121005;Outros  gerentes de empresas não-classificados sob outras epígrafes;Demais Ocupações;Demais Ocupações;Demais Ocupações
28688;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
28704;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
28720;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
28736;-99;outros;Demais Ocupações;Demais Ocupações;Demais Ocupações
30110;410105;Chefe de escritório, em geral;Demais Ocupações;Demais Ocupações;Demais Ocupações
30120;351315;Chefe de escritório (pessoal);Demais Ocupações;Demais Ocupações;Demais Ocupações
30130;410105;Chefe de escritório (serviços gerais);Demais Ocupações;Demais Ocupações;Demais Ocupações
30135;410215;Chefe de contas a pagar;Demais Ocupações;Demais Ocupações;Demais Ocupações
30190;111415;Outros chefes intermediários administrativos;Demais Ocupações;Demais Ocupações;Demais Ocupações
30220;351110;Chefe de escritório (contabilidade);Demais Ocupações;Demais Ocupações;Demais Ocupações
30230;410230;Chefe de escritório (orçamento);Demais Ocupações;Demais Ocupações;Demais Ocupações
30240;410225;Chefe de escritório (crédito e cobrança);Demais Ocupações;Demais Ocupações;Demais Ocupações
30250;410210;Chefe de escritório (câmbio);Demais Ocupações;Demais Ocupações;Demais Ocupações
30260;410235;Chefe de escritório (tesouraria);Demais Ocupações;Demais Ocupações;Demais Ocupações
30290;222105;Outros  chefes  intermediários  de contabilidade e finanças;Engenheiros agrônomos, de alimentos, florestais e de pesca;Engenheiros agrônomos, de alimentos, florestais e de pesca;Engenheiros
30920;410205;Chefe de almoxarifado;Demais Ocupações;Demais Ocupações;Demais Ocupações
30930;410220;Chefe de controle de patrimônio;Demais Ocupações;Demais Ocupações;Demais Ocupações
30990;351110;Outros  chefes  intermediários administrativos de contabilidade  e  finanças  não-classificados  sob;Demais Ocupações;Demais Ocupações;Demais Ocupações
31120;411010;Agente administrativo;Demais Ocupações;Demais Ocupações;Demais Ocupações
31125;411010;Assistente administrativo;Demais Ocupações;Demais Ocupações;Demais Ocupações
31190;351425;Outros  agentes  administrativos, assistentes ad- ministrativos e trabalhadores assemelhados;Demais Ocupações;Demais Ocupações;Demais Ocupações
31220;254415;Técnico de tributos;Demais Ocupações;Demais Ocupações;Demais Ocupações
31230;254415;Controlador de arrecadação;Demais Ocupações;Demais Ocupações;Demais Ocupações
31240;254405;Fiscal de tributos da Fazenda Pública;Demais Ocupações;Demais Ocupações;Demais Ocupações
31250;254405;Fiscal de tributos do açúcar e do álcool;Demais Ocupações;Demais Ocupações;Demais Ocupações
31260;254405;Fiscal de contribuições previdenciárias;Demais Ocupações;Demais Ocupações;Demais Ocupações
31290;251225;Outros  técnicos e fiscais de tributação e arrecadação;Demais Ocupações;Demais Ocupações;Demais Ocupações
31320;242305;Delegado de polícia;Demais Ocupações;Demais Ocupações;Demais Ocupações
31330;351810;Inspetor de polícia;Demais Ocupações;Demais Ocupações;Demais Ocupações
31340;204105;Perito criminal;Demais Ocupações;Demais Ocupações;Demais Ocupações
31390;111415;Outros agentes superiores da polícia;Demais Ocupações;Demais Ocupações;Demais Ocupações
31420;241335;Tabelião;Demais Ocupações;Demais Ocupações;Demais Ocupações
