CBO Ocupação 2002;potec
213120;Físicos, químicos e afins
213125;Físicos, químicos e afins
213130;Físicos, químicos e afins
213135;Físicos, químicos e afins
213140;Físicos, químicos e afins
213145;Físicos, químicos e afins
213150;Físicos, químicos e afins
213155;Físicos, químicos e afins
213160;Físicos, químicos e afins
213165;Físicos, químicos e afins
213170;Físicos, químicos e afins
213175;Físicos, químicos e afins
213205;Físicos, químicos e afins
213210;Físicos, químicos e afins
213215;Físicos, químicos e afins
213305;Físicos, químicos e afins
213310;Físicos, químicos e afins
213315;Físicos, químicos e afins
213405;Físicos, químicos e afins
213410;Físicos, químicos e afins
213415;Físicos, químicos e afins
213420;Físicos, químicos e afins
213425;Físicos, químicos e afins
213430;Físicos, químicos e afins
213435;Físicos, químicos e afins
213440;Físicos, químicos e afins
214005;Engenheiros Civis etc
214010;Engenheiros Civis etc
214105;Engenheiros Civis etc
214110;Engenheiros Civis etc
214115;Engenheiros Civis etc
214120;Engenheiros Civis etc
214125;Engenheiros Civis etc
214130;Engenheiros Civis etc
214205;Engenheiros Civis etc
214210;Engenheiros Civis etc
214215;Engenheiros Civis etc
214220;Engenheiros Civis etc
214225;Engenheiros Civis etc
214230;Engenheiros Civis etc
214235;Engenheiros Civis etc
214240;Engenheiros Civis etc
214245;Engenheiros Civis etc
214250;Engenheiros Civis etc
214255;Engenheiros Civis etc
214260;Engenheiros Civis etc
214265;Engenheiros Civis etc
214270;Engenheiros Civis etc
214275;Engenheiros Civis etc
214280;Engenheiros Civis etc
214305;Engenheiros Civis etc
214310;Engenheiros Civis etc
214315;Engenheiros Civis etc
214320;Engenheiros Civis etc
214325;Engenheiros Civis etc
214330;Engenheiros Civis etc
214335;Engenheiros Civis etc
214340;Engenheiros Civis etc
214345;Engenheiros Civis etc
214350;Engenheiros Civis etc
214355;Engenheiros Civis etc
214360;Engenheiros Civis etc
214365;Engenheiros Civis etc
214370;Engenheiros Civis etc
214405;Engenheiros Civis etc
214410;Engenheiros Civis etc
214415;Engenheiros Civis etc
214420;Engenheiros Civis etc
214425;Engenheiros Civis etc
214430;Engenheiros Civis etc
214435;Engenheiros Civis etc
214505;Engenheiros Civis etc
214510;Engenheiros Civis etc
214515;Engenheiros Civis etc
214520;Engenheiros Civis etc
214525;Engenheiros Civis etc
214530;Engenheiros Civis etc
214535;Engenheiros Civis etc
214605;Engenheiros Civis etc
214610;Engenheiros Civis etc
214615;Engenheiros Civis etc
214705;Engenheiros Civis etc
214710;Engenheiros Civis etc
214715;Engenheiros Civis etc
214720;Engenheiros Civis etc
214725;Engenheiros Civis etc
214730;Engenheiros Civis etc
214735;Engenheiros Civis etc
214740;Engenheiros Civis etc
214745;Engenheiros Civis etc
214750;Engenheiros Civis etc
214805;Engenheiros Civis etc
214810;Engenheiros Civis etc
214905;Engenheiros Civis etc
