,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
15,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador,Sexo Trabalhador
16,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento,Tamanho Estabelecimento
17,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego,Tempo Emprego
18,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab,Tipo Estab
19,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1,Tipo Estab.1
20,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo,Tipo Vínculo
21,Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM),Vl Remun Dezembro (SM)
22,Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM),Vl Remun Média (SM)
23,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12,Vínculo Ativo 31/12
24,,CBO 94 Ocupação,CBO 94 Ocupação,CBO 94 Ocupação,CBO 94 Ocupação,CBO 94 Ocupação,CBO 94 Ocupação,CBO 94 Ocupação,CBO 94 Ocupação,CBO 94 Ocupação,,,,,,,,,,,,,,,
25,,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe,CNAE 95 Classe
26,,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat,Faixa Hora Contrat
27,,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade,Idade
28,,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica,Natureza Jurídica
29,,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr,Qtd Hora Contr
30,,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão,Tipo Admissão
31,,,,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza,Bairros Fortaleza
32,,,,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ,Bairros RJ
